,psu_hh_idcode,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q11,Q14,Q17,Q18,Q19
2941,445_6_6,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
2942,447_5_5,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
2943,450_5_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2944,451_4_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2945,455_3_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2946,456_5_6,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2947,459_3_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
2948,463_1_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
2949,465_9_4,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
2950,471_3_5,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
2951,474_1_4,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
2952,479_6_5,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
2953,496_4_4,2,2,1,1.0,2.0,0.0,2.0,1.0,,1.0,,,
2954,501_6_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2955,507_7_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2956,508_3_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2957,509_3_3,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
2958,512_7_5,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
2959,515_3_5,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2960,515_8_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
2961,521_7_3,1,1,1,1.0,2.0,0.0,2.0,1.0,,1.0,,,
2962,523_4_3,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2963,524_8_5,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2964,528_6_9,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2965,529_11_6,1,1,1,1.0,2.0,0.0,0.0,1.0,,1.0,,,
2966,538_3_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2967,540_8_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2968,547_9_4,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
2969,555_5_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2970,563_1_5,1,1,1,1.0,3.0,0.0,4.0,1.0,,1.0,,,
2971,563_4_3,1,1,1,1.0,4.0,0.0,4.0,1.0,,1.0,,,
2972,564_3_4,1,1,1,1.0,4.0,0.0,4.0,1.0,,1.0,,,
2973,565_6_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2974,567_3_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2975,573_7_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2976,575_4_6,1,2,1,1.0,2.0,0.0,1.0,1.0,,1.0,,,
2977,576_3_4,1,1,1,1.0,3.0,0.0,3.0,1.0,,1.0,,,
2978,578_8_4,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
2979,578_8_5,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
2980,592_2_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2981,598_5_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2982,599_3_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2983,601_2_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2984,605_3_6,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2985,605_9_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2986,608_1_5,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2987,608_3_7,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2988,609_12_4,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
2989,610_5_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
2990,611_1_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2991,617_5_3,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2992,618_8_7,3,3,2,,,,,,,,,,
2993,619_8_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2994,621_8_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2995,623_4_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
2996,624_7_5,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
2997,631_1_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
2998,631_10_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
2999,636_2_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3000,645_11_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3001,649_3_6,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3002,653_8_7,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
3003,656_2_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3004,661_2_3,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3005,661_4_5,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3006,666_3_5,1,1,1,1.0,3.0,0.0,1.0,1.0,,1.0,,,
3007,668_8_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3008,669_9_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3009,674_5_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3010,679_1_4,1,2,1,1.0,3.0,0.0,3.0,1.0,,1.0,,,
3011,681_1_2,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3012,682_2_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3013,685_1_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3014,690_3_4,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3015,691_7_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3016,692_8_8,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3017,694_3_5,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3018,694_4_5,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3019,694_6_4,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3020,699_6_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3021,699_7_3,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3022,703_2_4,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
3023,703_7_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3024,703_8_3,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
3025,713_3_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3026,714_1_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3027,714_3_4,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3028,715_3_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3029,715_4_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3030,722_8_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3031,738_6_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3032,743_10_4,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
3033,747_5_3,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
3034,748_7_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3035,749_1_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3036,751_3_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3037,754_5_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3038,755_3_3,2,2,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3039,758_8_4,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3040,762_1_4,1,1,1,1.0,3.0,0.0,3.0,1.0,,1.0,,,
3041,764_8_3,1,2,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3042,766_1_5,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3043,769_3_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3044,771_2_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3045,771_5_4,1,1,1,1.0,3.0,0.0,1.0,1.0,,1.0,,,
3046,777_2_5,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3047,782_10_3,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3048,783_4_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3049,783_6_4,2,2,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3050,784_3_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3051,785_4_5,1,1,1,1.0,2.0,0.0,0.0,1.0,,1.0,,,
3052,786_9_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3053,789_3_8,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3054,792_9_3,1,1,1,1.0,3.0,0.0,1.0,1.0,,1.0,,,
3055,794_5_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3056,799_1_3,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3057,799_5_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3058,815_4_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3059,815_5_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3060,3_7_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3061,4_2_3,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3062,5_6_4,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3063,10_6_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3064,17_3_6,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3065,19_3_2,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3066,20_6_6,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3067,22_2_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3068,24_7_5,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3069,25_7_3,2,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3070,26_3_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3071,29_2_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3072,31_2_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3073,33_4_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3074,33_8_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3075,38_8_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3076,42_4_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3077,43_2_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3078,44_3_3,1,2,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3079,44_10_3,1,1,1,1.0,5.0,0.0,1.0,1.0,,1.0,,,
3080,45_4_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3081,49_4_6,1,1,1,1.0,3.0,0.0,2.0,1.0,,1.0,,,
3082,52_3_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3083,52_7_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3084,56_1_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3085,56_2_4,1,1,1,1.0,5.0,0.0,1.0,1.0,,1.0,,,
3086,62_9_4,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3087,65_6_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3088,66_6_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3089,70_8_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3090,73_3_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3091,74_1_4,1,2,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3092,75_7_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3093,76_6_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3094,76_7_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3095,77_3_6,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3096,78_2_5,1,2,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3097,78_4_5,1,2,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3098,81_3_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3099,82_1_6,1,2,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3100,84_4_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3101,85_5_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3102,93_4_5,2,2,2,,,,,,,,,,
3103,95_5_4,1,2,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3104,96_3_6,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3105,101_3_4,1,1,1,1.0,5.0,0.0,2.0,1.0,,1.0,,,
3106,101_8_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3107,104_2_6,1,2,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3108,104_4_5,2,2,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3109,105_1_4,1,2,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3110,108_5_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3111,115_7_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3112,127_1_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3113,128_3_3,1,1,1,1.0,5.0,0.0,2.0,1.0,,1.0,,,
3114,128_7_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3115,129_7_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3116,130_16_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3117,131_11_6,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3118,133_2_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3119,133_5_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3120,133_9_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3121,134_8_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3122,135_7_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3123,136_3_6,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3124,137_3_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3125,137_9_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3126,140_3_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3127,140_5_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3128,142_5_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3129,142_10_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3130,143_1_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3131,146_5_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3132,149_8_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3133,152_4_4,1,1,1,1.0,2.0,0.0,0.0,1.0,,1.0,,,
3134,153_5_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3135,153_8_5,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3136,156_1_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3137,161_1_3,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3138,162_1_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3139,163_7_3,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3140,164_2_6,2,2,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3141,168_9_3,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3142,169_8_4,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3143,172_2_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3144,174_2_5,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3145,181_2_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3146,182_6_5,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3147,182_6_6,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3148,183_5_5,2,2,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3149,185_5_4,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3150,187_6_5,1,1,1,1.0,6.0,1.0,0.0,1.0,,1.0,,,
3151,188_4_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3152,188_8_5,1,1,1,1.0,3.0,0.0,1.0,1.0,,1.0,,,
3153,188_9_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3154,189_6_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3155,192_3_6,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3156,192_4_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3157,193_7_4,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3158,195_8_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3159,196_3_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3160,197_1_4,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3161,197_3_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3162,200_1_7,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3163,200_5_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3164,201_3_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3165,201_4_6,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3166,203_8_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3167,204_6_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3168,205_8_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3169,209_2_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3170,210_8_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3171,211_1_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3172,211_3_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3173,214_6_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3174,216_4_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3175,216_8_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3176,218_5_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3177,220_1_6,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3178,222_4_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3179,222_6_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3180,225_4_6,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3181,227_6_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3182,227_7_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3183,233_10_7,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3184,234_4_7,2,2,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
3185,235_1_4,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3186,240_5_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3187,241_6_5,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3188,246_8_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3189,248_5_4,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3190,256_5_5,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3191,262_8_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3192,270_5_6,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3193,272_1_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3194,272_2_7,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3195,274_2_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3196,275_9_6,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3197,276_5_5,1,1,1,1.0,2.0,0.0,2.0,1.0,,1.0,,,
3198,276_8_4,1,1,1,1.0,2.0,0.0,1.0,1.0,,1.0,,,
3199,278_8_7,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3200,280_4_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3201,283_1_3,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3202,283_9_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3203,284_10_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3204,285_8_6,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3205,288_8_3,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3206,290_4_6,1,2,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3207,295_4_3,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3208,297_5_3,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3209,299_8_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3210,300_5_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3211,300_6_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3212,303_9_3,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3213,304_11_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3214,308_8_8,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3215,309_10_3,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3216,310_8_5,2,3,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3217,318_8_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3218,321_1_4,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3219,321_7_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3220,322_8_4,3,3,2,,,,,,,,,,
3221,323_6_4,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3222,336_9_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3223,347_6_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3224,347_9_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3225,348_4_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3226,349_4_3,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3227,349_7_6,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3228,352_3_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3229,354_10_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3230,356_2_6,1,1,1,1.0,4.0,0.0,3.0,1.0,,1.0,,,
3231,357_10_3,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3232,358_5_6,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3233,359_3_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3234,361_5_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3235,363_5_5,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3236,363_7_3,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3237,363_8_7,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3238,364_8_6,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3239,365_3_5,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3240,365_4_5,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3241,365_7_8,1,1,1,1.0,5.0,1.0,3.0,1.0,,1.0,,,
3242,366_12_3,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3243,368_2_6,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3244,370_1_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3245,370_4_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3246,370_6_4,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3247,371_4_5,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3248,376_7_5,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3249,377_6_6,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3250,378_6_6,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3251,379_3_4,1,2,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3252,379_6_4,1,1,1,1.0,4.0,0.0,2.0,1.0,,1.0,,,
3253,381_8_5,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3254,382_1_5,1,2,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3255,382_2_5,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3256,382_7_4,1,2,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3257,383_1_5,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3258,385_5_3,1,1,1,1.0,4.0,0.0,1.0,1.0,,1.0,,,
3259,388_7_6,1,1,1,1.0,5.0,1.0,1.0,1.0,,1.0,,,
3260,389_5_4,1,1,1,1.0,6.0,1.0,2.0,1.0,,1.0,,,
3261,389_6_4,1,1,1,1.0,5.0,1.0,2.0,1.0,,1.0,,,
3262,390_5_5,1,1,1,1.0,5.0,0.0,2.0,1.0,,1.0,,,
3263,393_2_5,1,1,1,1.0,4.0,0.0,0.0,1.0,,1.0,,,
3264,393_9_6,1,1,1,1.0,5.0,1.0,0.0,1.0,,1.0,,,
3265,393_10_6,1,1,1,1.0,3.0,0.0,0.0,1.0,,1.0,,,
