,psu_hh_idcode,subjectivePoverty_rating
1359,703_8_2,3
1360,208_1_1,5
1361,553_2_1,2
1362,367_6_1,6
1363,353_1_1,4
1364,233_5_1,2
1365,468_6_2,7
1366,213_4_1,8
1367,230_1_4,4
1368,362_7_1,5
1369,734_12_1,7
1370,159_5_1,5
1371,52_7_1,7
1372,494_4_1,6
1373,82_8_1,4
1374,737_8_1,1
1375,238_7_2,5
1376,673_8_2,4
1377,394_7_1,2
1378,483_1_3,9
1379,272_8_1,5
1380,74_7_1,3
1381,324_4_1,6
1382,424_2_2,3
1383,323_6_1,4
1384,729_2_2,7
1385,435_5_1,5
1386,578_6_1,6
1387,88_6_2,5
1388,484_12_1,8
1389,332_4_1,2
1390,534_7_1,3
1391,85_6_1,3
1392,486_8_1,4
1393,646_11_1,3
1394,289_2_1,2
1395,623_3_1,6
1396,771_1_1,4
1397,626_7_4,4
1398,246_3_1,4
1399,732_7_1,7
1400,14_8_1,5
1401,332_1_1,6
1402,357_4_1,2
1403,360_3_1,3
1404,710_8_1,8
1405,547_5_1,6
1406,662_3_1,2
1407,279_7_1,4
1408,571_4_1,8
1409,683_12_1,4
1410,691_1_2,4
1411,766_2_2,2
1412,271_7_2,5
1413,490_7_2,7
1414,487_6_1,3
1415,424_5_2,4
1416,615_7_1,6
1417,325_9_1,4
1418,14_5_2,4
1419,4_8_1,3
1420,374_4_2,4
1421,230_9_1,3
1422,94_8_1,3
1423,74_1_1,3
1424,153_5_1,6
1425,292_2_2,2
1426,421_4_1,5
1427,323_3_1,3
1428,231_1_1,6
1429,69_5_1,4
1430,645_9_1,8
1431,333_11_1,5
1432,776_2_1,2
1433,813_6_2,2
1434,775_2_2,4
1435,804_1_2,6
1436,816_3_1,6
1437,810_5_1,4
1438,702_4_1,5
1439,218_6_1,4
1440,255_8_1,6
1441,793_4_1,6
1442,197_8_3,7
1443,526_7_1,5
1444,600_1_1,8
1445,202_1_1,5
1446,217_1_2,3
1447,519_7_1,6
1448,12_3_1,2
1449,203_2_1,6
1450,513_8_1,8
1451,203_5_1,6
1452,596_4_1,5
1453,500_5_1,3
1454,79_1_1,3
1455,9_6_2,3
1456,112_2_1,10
1457,465_10_1,3
1458,632_7_1,4
1459,537_4_1,5
1460,679_5_2,4
1461,234_9_2,4
1462,263_1_1,6
1463,119_4_1,1
1464,110_7_1,5
1465,583_4_3,7
1466,778_8_1,4
1467,37_6_1,2
1468,828_5_2,6
1469,56_8_1,6
1470,701_5_2,5
1471,564_5_1,7
1472,815_4_1,4
1473,700_7_1,5
1474,700_2_3,6
1475,637_4_2,6
1476,473_9_1,4
1477,679_2_2,5
1478,582_6_2,7
1479,46_10_1,3
1480,540_6_1,5
1481,788_6_1,4
1482,216_7_1,5
1483,711_3_1,5
1484,764_8_1,6
1485,579_11_1,1
1486,702_5_1,5
1487,366_3_1,4
1488,267_7_1,5
1489,358_1_1,4
1490,791_6_1,6
1491,149_4_1,4
1492,579_5_1,1
1493,732_3_1,9
1494,312_3_1,6
1495,303_5_1,5
1496,633_8_2,2
1497,816_4_1,6
1498,19_9_1,3
1499,555_7_1,5
1500,130_2_1,5
1501,173_11_1,7
1502,115_8_2,8
1503,164_2_1,1
1504,237_6_3,4
1505,695_5_1,4
1506,590_3_1,8
1507,64_6_1,5
1508,348_1_1,4
1509,597_2_1,6
1510,294_5_1,8
1511,479_7_1,4
1512,94_5_1,7
1513,670_4_1,4
1514,415_10_1,6
1515,370_2_1,2
1516,164_7_1,7
1517,713_2_1,5
1518,544_12_1,4
1519,372_10_4,2
1520,444_3_2,8
1521,717_5_2,6
1522,441_2_3,4
1523,603_6_1,5
1524,764_11_2,7
1525,59_8_1,4
1526,462_5_1,3
1527,580_1_1,1
1528,220_4_1,5
1529,544_6_1,2
1530,796_1_1,5
1531,425_3_1,2
1532,113_1_1,8
1533,631_3_1,2
1534,568_1_1,5
1535,32_5_1,3
1536,152_3_1,5
1537,801_8_1,5
1538,774_8_2,2
1539,363_6_1,3
1540,335_8_1,4
1541,397_4_1,5
1542,142_1_1,6
1543,322_7_1,5
1544,529_11_1,4
1545,545_3_1,1
1546,733_10_1,1
1547,8_2_2,5
1548,166_3_1,4
1549,492_1_2,6
1550,696_3_1,3
1551,829_6_2,5
1552,720_8_1,6
1553,37_5_1,5
1554,143_9_1,4
1555,365_6_3,3
1556,402_4_1,6
1557,147_3_1,5
1558,377_2_1,6
1559,684_11_1,6
1560,375_8_2,8
1561,699_1_1,6
1562,661_6_1,1
1563,136_9_1,2
1564,309_2_1,4
1565,600_4_1,9
1566,147_6_1,5
1567,703_7_2,4
1568,467_9_1,3
1569,265_2_1,5
1570,334_1_1,6
1571,219_5_2,8
1572,527_3_1,6
1573,719_1_1,8
1574,258_5_1,7
1575,799_5_1,4
1576,347_4_1,4
1577,77_7_1,4
1578,278_1_1,2
1579,479_4_1,5
1580,402_8_2,7
1581,179_10_1,6
1582,651_5_1,3
1583,751_7_2,8
1584,64_2_1,6
1585,52_8_1,6
1586,700_8_2,5
1587,35_1_1,6
1588,328_3_1,2
1589,768_6_2,3
1590,512_5_1,6
1591,704_2_2,3
1592,697_2_1,2
1593,272_2_1,4
1594,14_4_1,7
1595,169_2_4,8
1596,234_12_2,2
1597,830_3_2,5
1598,369_1_1,2
1599,733_4_2,1
1600,120_1_1,2
1601,478_3_1,5
1602,632_4_1,3
1603,706_5_1,7
1604,189_1_1,5
1605,821_1_1,5
1606,724_10_1,8
1607,233_11_1,6
1608,645_6_1,7
1609,363_5_1,4
1610,129_1_1,3
1611,329_8_1,3
1612,290_8_1,2
1613,279_1_1,7
1614,53_1_1,5
1615,240_6_1,5
1616,264_2_1,5
1617,728_9_1,6
1618,71_5_1,7
1619,60_7_1,6
1620,331_7_1,7
1621,608_4_1,3
1622,151_4_1,7
1623,154_1_3,4
1624,18_7_1,7
1625,240_1_1,3
1626,564_6_1,6
1627,222_8_1,2
1628,279_6_1,2
1629,687_10_3,5
1630,789_2_1,4
1631,76_6_1,3
1632,150_5_1,5
1633,582_1_2,8
1634,298_3_1,5
1635,408_2_2,4
1636,677_6_2,5
1637,63_2_2,7
1638,214_5_2,8
1639,614_4_2,3
1640,816_1_1,8
1641,653_7_1,4
1642,370_4_1,1
1643,237_7_1,5
1644,91_2_1,5
1645,395_3_1,4
1646,129_2_1,6
1647,668_1_1,3
1648,162_8_1,5
1649,188_1_1,5
1650,263_4_1,1
1651,191_1_1,2
1652,734_10_1,7
1653,530_5_1,4
1654,776_3_1,2
1655,830_5_1,6
1656,548_8_2,3
1657,539_1_1,8
1658,671_8_1,4
1659,163_7_1,3
1660,14_6_1,7
1661,169_11_2,7
1662,745_10_1,5
1663,648_8_2,4
1664,411_1_1,6
1665,302_8_1,4
1666,117_4_1,5
1667,43_1_1,4
1668,730_11_3,7
1669,533_9_1,5
1670,401_5_1,3
1671,752_1_1,7
1672,118_2_2,3
1673,762_4_1,5
1674,198_5_1,5
1675,314_3_1,6
1676,49_4_1,4
1677,441_6_3,6
1678,783_8_1,5
1679,571_6_2,2
1680,557_3_1,1
1681,407_5_1,5
1682,91_5_1,6
1683,96_9_1,2
1684,36_7_1,3
1685,769_5_2,2
1686,826_3_1,6
1687,39_4_1,1
1688,740_8_2,5
1689,426_7_1,6
1690,649_1_1,5
1691,804_2_2,4
1692,699_3_2,3
1693,755_6_2,4
1694,362_6_1,3
1695,452_5_1,4
1696,205_3_1,4
1697,514_8_1,7
1698,585_5_2,9
1699,707_3_1,6
1700,24_1_1,6
1701,9_8_3,3
1702,472_5_1,8
1703,89_8_1,4
1704,53_6_1,5
1705,128_6_1,5
1706,261_7_1,6
1707,775_1_2,3
1708,358_6_1,5
1709,93_2_1,4
1710,462_2_1,3
1711,158_5_2,3
1712,209_3_2,3
1713,306_10_1,7
1714,259_1_1,6
1715,380_2_1,6
1716,267_2_1,5
1717,774_3_2,3
1718,794_12_1,4
1719,541_5_1,4
1720,226_5_1,2
1721,152_4_1,5
1722,212_9_1,3
1723,472_9_1,8
1724,137_10_1,2
1725,433_1_1,3
1726,748_1_6,4
1727,525_9_1,4
1728,204_10_1,5
1729,505_1_1,4
1730,707_8_2,8
1731,561_5_1,2
1732,202_6_1,3
1733,123_4_1,5
1734,343_9_1,5
1735,591_5_1,1
1736,818_8_1,5
1737,710_6_2,7
1738,61_8_1,6
1739,699_12_1,5
1740,734_7_1,9
1741,44_1_1,5
1742,473_10_1,4
1743,689_1_2,5
1744,709_9_1,5
1745,114_11_1,10
1746,131_3_2,4
1747,6_10_2,6
1748,368_12_1,5
1749,750_6_1,7
1750,169_10_1,6
1751,56_6_1,3
1752,267_6_1,4
1753,133_6_2,2
1754,182_4_1,1
1755,574_4_1,4
1756,388_2_1,2
1757,218_8_1,4
1758,539_9_1,7
1759,336_2_1,4
1760,467_3_3,4
1761,220_3_1,3
1762,402_2_1,7
1763,241_2_1,3
1764,589_7_1,1
1765,573_2_1,7
1766,132_9_2,2
1767,107_1_2,5
1768,364_3_1,4
1769,626_4_2,3
1770,600_6_1,8
1771,514_6_1,6
1772,162_7_1,5
1773,224_3_1,4
1774,331_4_1,7
1775,427_3_1,6
1776,779_3_1,6
1777,680_4_2,2
1778,799_2_1,3
1779,476_3_1,2
1780,140_1_1,5
1781,681_2_1,5
1782,98_2_1,2
1783,788_7_1,6
1784,23_9_1,4
1785,328_1_1,2
1786,570_2_1,4
1787,819_7_2,6
1788,236_4_1,6
1789,190_2_1,4
1790,512_7_1,6
1791,92_7_1,3
1792,754_2_1,3
1793,301_7_1,4
1794,147_1_4,6
1795,720_5_1,7
1796,565_6_1,5
1797,677_8_2,4
1798,494_6_1,8
1799,549_3_1,5
1800,392_2_1,2
1801,828_3_1,5
1802,335_4_1,6
1803,61_6_4,6
1804,261_2_1,7
1805,57_6_1,3
1806,436_5_1,3
1807,12_8_2,4
1808,436_7_1,4
1809,638_10_1,6
1810,453_11_1,3
1811,4_9_1,4
1812,209_2_2,8
1813,99_6_1,5
1814,379_2_1,3
1815,807_10_1,6
1816,719_11_1,6
1817,243_9_1,3
1818,292_7_2,5
1819,510_5_1,8
1820,193_6_2,6
1821,139_7_1,5
1822,228_2_1,3
1823,13_6_1,4
1824,568_5_1,7
1825,368_3_2,2
1826,792_1_1,5
1827,181_5_1,2
1828,352_1_1,4
1829,604_5_1,4
1830,625_1_1,1
1831,400_9_1,3
1832,136_5_2,7
1833,727_9_1,7
1834,108_8_1,2
1835,626_11_2,2
1836,113_12_1,6
1837,317_5_1,4
1838,14_7_1,6
1839,575_3_1,7
1840,716_10_1,7
1841,700_6_2,6
1842,244_2_1,7
1843,431_5_1,3
1844,229_8_1,4
1845,319_10_1,7
1846,400_6_1,3
1847,566_5_1,5
1848,714_8_2,4
1849,98_8_1,2
1850,815_1_1,7
1851,116_11_1,6
1852,599_5_1,7
1853,445_5_1,7
1854,823_10_2,6
1855,310_8_1,7
1856,744_2_2,5
1857,319_7_1,3
1858,229_2_1,3
1859,783_6_1,4
1860,834_2_1,5
1861,137_9_1,6
1862,141_2_2,5
1863,346_7_1,3
1864,654_1_1,2
1865,287_1_2,3
1866,172_6_2,6
1867,102_2_1,5
1868,306_2_1,8
1869,508_1_1,3
1870,581_2_1,1
1871,807_8_1,5
1872,207_7_1,3
1873,682_12_1,6
1874,554_6_2,6
1875,821_9_1,6
1876,585_1_1,7
1877,260_9_1,7
1878,657_4_1,3
1879,638_7_1,7
1880,785_6_2,5
1881,262_12_1,6
1882,161_11_1,1
1883,720_11_1,7
1884,354_10_1,3
1885,532_12_1,7
1886,427_5_1,4
1887,540_7_1,3
1888,279_5_1,6
1889,518_6_1,6
1890,481_4_2,8
1891,686_8_4,6
1892,745_12_1,3
1893,274_1_1,5
1894,713_7_1,5
1895,268_12_1,4
1896,11_8_2,3
1897,679_3_2,4
1898,151_5_1,6
1899,782_4_1,5
1900,294_7_2,2
1901,414_6_1,6
1902,642_8_2,7
1903,484_3_1,9
1904,558_4_1,5
1905,830_4_2,3
1906,65_8_1,6
1907,222_3_1,1
1908,104_6_1,3
1909,387_4_1,3
1910,274_3_1,4
1911,55_7_1,4
1912,79_4_1,3
1913,43_4_1,6
1914,462_3_1,3
1915,219_1_1,4
1916,116_9_1,6
1917,467_12_1,4
1918,37_9_1,2
1919,132_6_3,3
1920,445_2_1,8
1921,547_2_2,7
1922,147_7_2,7
1923,588_9_1,1
1924,503_8_1,6
1925,483_5_1,8
1926,196_2_1,5
1927,338_5_1,3
1928,780_2_1,4
1929,634_6_4,5
1930,596_7_1,6
1931,119_1_4,6
1932,663_1_2,1
1933,720_1_1,9
1934,554_7_1,3
1935,2_6_1,4
1936,140_6_1,3
1937,607_1_1,4
1938,399_4_1,2
1939,724_7_1,6
1940,81_3_1,4
1941,747_5_2,4
1942,715_5_3,7
1943,528_1_1,3
1944,617_2_1,4
1945,165_8_2,4
1946,251_6_1,4
1947,446_6_1,4
1948,762_9_2,6
1949,265_5_1,4
1950,345_5_1,4
1951,324_11_1,3
1952,354_6_1,7
1953,689_9_1,4
1954,413_2_1,5
1955,82_7_1,5
1956,54_8_1,5
1957,277_6_1,5
1958,749_7_2,5
1959,392_7_1,2
1960,633_11_1,5
1961,391_8_1,7
1962,525_7_1,5
1963,689_5_1,6
1964,486_3_1,6
1965,705_5_1,4
1966,343_8_1,5
1967,105_7_1,3
1968,136_10_1,3
1969,413_7_1,4
1970,270_6_2,5
1971,607_5_1,4
1972,58_2_1,6
1973,430_11_2,4
1974,732_5_1,1
1975,108_1_1,5
1976,458_3_1,4
1977,613_4_1,3
1978,182_1_1,1
1979,492_8_1,6
1980,535_1_1,4
1981,595_1_2,6
1982,285_3_1,7
1983,378_3_2,2
1984,373_3_2,5
1985,419_11_1,7
1986,219_2_1,6
1987,87_6_1,4
1988,834_8_1,6
1989,412_2_1,6
1990,415_7_1,3
1991,24_5_1,4
1992,474_8_1,6
1993,36_8_1,5
1994,218_3_1,4
1995,559_2_1,4
1996,461_7_1,3
1997,423_9_1,5
1998,698_12_1,4
1999,22_2_1,1
2000,427_1_1,4
2001,475_4_2,6
2002,315_5_1,3
2003,679_7_2,5
2004,649_8_1,4
2005,211_5_1,4
2006,199_5_1,3
2007,541_7_1,2
2008,168_3_1,6
2009,461_10_1,4
2010,217_6_2,3
2011,416_1_1,7
2012,402_7_1,5
2013,596_8_1,6
2014,684_4_1,6
2015,740_3_1,2
2016,740_4_2,5
2017,593_7_1,7
2018,27_3_1,3
2019,268_5_1,3
2020,610_5_1,2
2021,364_4_2,3
2022,639_5_1,5
2023,493_1_1,7
2024,10_2_1,3
2025,561_1_1,4
2026,391_7_1,4
2027,743_5_2,5
2028,590_5_1,8
2029,196_5_3,3
2030,525_2_1,5
2031,407_8_1,5
2032,548_3_1,3
2033,797_2_1,5
2034,511_3_1,6
2035,777_5_3,2
2036,235_5_1,5
2037,362_4_1,5
2038,154_9_1,6
2039,522_7_1,5
2040,645_5_3,7
2041,184_3_1,2
2042,158_3_1,2
2043,224_8_1,5
2044,815_8_2,7
2045,215_9_1,3
2046,245_1_1,4
2047,173_4_1,7
2048,775_4_2,3
2049,15_3_1,3
2050,741_5_7,3
2051,610_2_1,2
2052,492_3_1,6
2053,64_4_1,6
2054,671_1_1,3
2055,402_3_4,6
2056,825_6_1,4
2057,640_5_1,9
2058,573_3_3,6
2059,493_2_1,7
2060,44_11_1,2
2061,522_9_1,5
2062,394_10_1,5
2063,419_7_1,5
2064,140_3_2,5
2065,630_12_1,4
2066,38_4_1,4
2067,370_8_1,2
2068,675_12_2,6
2069,635_2_1,4
2070,631_1_1,3
2071,316_11_1,7
2072,29_6_1,2
2073,777_6_1,2
2074,616_4_1,5
2075,577_1_2,3
2076,360_4_2,5
2077,534_5_1,6
2078,691_2_1,3
2079,298_1_1,3
2080,458_9_1,6
2081,555_4_2,2
2082,202_8_1,1
2083,76_8_1,4
2084,331_9_1,7
2085,137_8_1,4
2086,675_1_2,4
2087,820_1_2,4
2088,792_3_1,6
2089,26_4_1,4
2090,727_11_1,5
2091,440_9_1,4
2092,105_6_1,4
2093,482_7_2,6
2094,154_8_2,5
2095,632_6_2,2
2096,202_2_1,4
2097,723_11_2,5
2098,463_5_2,5
2099,520_6_1,6
2100,595_6_1,4
2101,356_5_1,1
2102,323_2_1,2
2103,272_1_1,4
2104,290_11_1,1
2105,83_2_1,5
2106,99_7_1,6
2107,282_6_1,7
2108,495_6_1,4
2109,170_9_3,5
2110,611_6_1,3
2111,563_8_1,5
2112,314_8_1,5
2113,832_1_1,4
2114,728_1_1,6
2115,302_2_1,3
2116,586_5_1,7
2117,637_1_2,6
2118,479_3_1,6
2119,711_8_1,6
2120,223_5_1,3
2121,457_8_1,5
2122,101_4_1,5
2123,108_2_3,7
2124,433_6_1,7
2125,475_6_1,5
2126,587_7_2,9
2127,28_4_1,2
2128,162_1_1,5
2129,73_7_1,4
2130,6_5_1,4
2131,155_3_1,1
2132,295_7_1,3
2133,807_11_3,5
2134,237_5_2,3
2135,729_7_1,5
2136,436_2_1,3
2137,689_8_1,5
2138,134_8_2,4
2139,90_8_1,6
2140,189_2_1,6
2141,84_7_1,4
2142,666_8_1,3
2143,448_6_1,8
2144,113_2_2,5
2145,671_2_1,4
2146,316_5_1,4
2147,456_10_1,6
2148,297_5_2,5
2149,665_7_1,3
2150,329_7_1,3
2151,468_12_1,6
2152,701_4_2,5
2153,290_10_1,1
2154,635_9_1,5
2155,235_3_2,4
2156,222_2_1,3
2157,605_9_1,3
2158,542_2_1,1
2159,249_1_1,5
2160,655_3_1,2
2161,669_4_1,4
2162,408_5_1,8
2163,271_5_2,6
2164,92_4_1,5
2165,606_1_1,3
2166,441_1_1,3
2167,326_6_1,3
2168,157_10_2,3
2169,264_3_1,5
2170,389_7_1,4
2171,714_3_2,4
2172,113_4_1,7
2173,54_7_1,4
2174,574_10_1,5
2175,754_11_2,5
2176,652_4_1,3
2177,754_6_2,6
2178,153_8_1,6
2179,820_3_1,5
2180,646_4_2,6
2181,442_6_1,4
2182,382_3_1,1
2183,138_1_2,5
2184,260_4_1,6
2185,791_5_1,6
2186,507_2_1,5
2187,703_6_2,4
2188,224_5_1,3
2189,604_2_1,4
2190,536_5_1,3
2191,350_9_1,4
2192,25_1_2,5
2193,472_1_1,6
2194,141_9_1,6
2195,299_6_1,1
2196,493_6_1,6
2197,299_7_1,5
2198,39_1_1,4
2199,307_1_1,8
2200,162_5_1,4
2201,9_7_1,4
2202,332_8_1,3
2203,433_7_1,4
2204,597_8_1,4
2205,104_8_1,5
2206,783_2_1,4
2207,183_1_1,7
2208,501_6_1,3
2209,30_7_1,4
2210,12_5_2,3
2211,308_4_1,4
2212,388_6_1,3
2213,820_7_1,7
2214,790_1_1,5
2215,348_4_2,3
2216,476_5_1,3
2217,755_2_1,4
2218,126_2_1,6
2219,800_1_1,3
2220,313_4_1,5
2221,407_12_2,8
2222,192_6_1,4
2223,493_3_1,5
2224,52_4_1,5
2225,448_4_1,8
2226,800_8_1,3
2227,742_5_1,4
2228,429_2_1,6
2229,627_1_1,1
2230,760_9_1,1
2231,635_1_2,3
2232,392_5_1,3
2233,80_2_1,3
2234,63_3_1,7
2235,507_1_1,2
2236,91_1_1,2
2237,464_9_1,6
2238,95_6_1,4
2239,282_8_1,7
2240,293_3_1,2
2241,459_2_1,6
2242,480_10_1,4
2243,833_2_2,5
2244,75_5_1,3
2245,592_2_1,3
2246,134_5_2,3
2247,243_11_1,5
2248,206_9_1,6
2249,731_10_1,8
2250,213_5_1,5
2251,668_6_3,5
2252,441_5_1,4
2253,11_7_1,4
2254,301_1_1,4
2255,597_1_1,6
2256,129_8_1,3
2257,340_6_1,3
2258,594_5_2,4
2259,269_2_1,4
2260,520_9_1,8
2261,151_1_2,5
2262,254_3_1,5
2263,78_6_1,3
2264,758_5_2,4
2265,71_7_1,5
2266,230_7_1,4
2267,167_7_3,6
2268,334_2_1,6
2269,793_8_1,6
2270,263_5_1,6
2271,330_3_1,2
2272,294_2_1,6
2273,678_7_3,4
2274,212_1_1,4
2275,94_2_1,4
2276,274_5_1,5
2277,25_4_3,4
2278,474_4_1,5
2279,294_9_1,5
2280,548_5_2,8
2281,101_3_1,5
2282,810_7_1,6
2283,537_8_1,8
2284,812_7_2,4
2285,696_1_1,5
2286,81_5_1,4
2287,736_11_1,5
2288,624_5_2,4
2289,365_5_1,3
2290,633_2_2,2
2291,16_1_1,4
2292,223_2_1,7
2293,453_2_1,4
2294,713_5_1,6
2295,268_1_1,3
2296,831_3_2,3
2297,651_4_1,1
2298,17_7_1,6
2299,736_2_1,5
2300,379_3_1,8
2301,756_10_2,5
2302,8_8_1,4
2303,542_7_1,6
2304,741_8_4,5
2305,388_7_1,3
2306,613_8_1,2
2307,85_8_1,6
2308,417_8_1,2
2309,93_7_1,6
2310,152_5_2,6
2311,272_4_1,6
2312,411_8_1,4
2313,568_6_1,7
2314,71_8_1,2
2315,235_2_2,4
2316,803_2_1,4
2317,215_7_1,3
2318,175_1_2,4
2319,625_8_1,1
2320,554_3_3,4
2321,62_2_2,5
2322,447_7_1,6
2323,87_3_1,4
2324,687_7_1,6
2325,76_3_1,3
2326,239_9_2,5
2327,477_1_1,4
2328,344_6_1,3
2329,589_10_1,1
2330,149_5_3,5
2331,35_3_1,6
2332,442_8_1,3
2333,171_3_1,7
2334,327_5_1,4
2335,191_9_2,3
2336,559_4_1,4
2337,337_2_2,5
2338,488_5_1,7
2339,611_5_1,2
2340,357_5_1,4
2341,784_5_1,7
2342,466_2_1,2
2343,119_2_1,7
2344,743_10_2,1
2345,282_4_1,8
2346,423_5_2,3
2347,387_5_1,2
2348,339_3_2,5
2349,294_4_2,4
2350,9_5_1,4
2351,818_4_1,4
2352,591_9_1,1
2353,200_8_2,6
2354,369_9_3,4
2355,463_4_1,4
2356,539_6_1,7
2357,188_11_1,6
2358,347_5_1,3
2359,19_7_2,3
2360,571_3_1,6
2361,261_10_1,5
2362,773_6_1,4
2363,283_5_1,8
2364,596_3_1,6
2365,373_8_1,5
2366,316_6_1,4
2367,108_6_2,6
2368,708_10_1,5
2369,475_5_1,3
2370,356_7_1,5
2371,46_9_1,1
2372,180_1_2,3
2373,582_7_2,4
2374,223_4_1,3
2375,499_8_1,8
2376,363_8_1,4
2377,228_3_1,5
2378,531_2_1,6
2379,106_2_1,5
2380,149_7_1,7
2381,22_8_1,1
2382,411_4_1,7
2383,683_6_1,5
2384,262_8_1,4
2385,801_4_1,5
2386,455_5_1,2
2387,414_7_1,6
2388,129_9_1,4
2389,742_3_1,4
2390,38_6_1,3
2391,185_1_1,5
2392,36_4_1,4
2393,510_2_1,5
2394,389_3_1,2
2395,679_6_2,4
2396,227_7_1,2
2397,159_8_1,6
2398,732_4_1,9
2399,731_11_1,7
2400,406_9_2,6
2401,290_5_1,2
2402,252_2_1,4
2403,487_1_1,3
2404,464_11_1,5
2405,759_9_1,6
2406,423_4_1,6
2407,356_8_1,5
2408,13_4_1,2
2409,458_7_1,6
2410,94_1_1,3
2411,828_7_2,4
2412,61_1_2,4
2413,550_3_2,4
2414,810_9_1,9
2415,587_9_2,6
2416,145_7_1,7
2417,180_8_1,1
2418,302_11_1,4
2419,817_9_1,6
2420,51_3_1,5
2421,275_5_1,6
2422,119_8_2,4
2423,259_6_1,4
2424,361_6_1,4
2425,593_5_1,8
2426,84_5_1,6
2427,28_3_1,6
2428,246_4_1,3
2429,335_7_1,3
2430,392_1_2,4
2431,277_11_1,4
2432,453_12_1,3
2433,342_8_1,4
2434,556_8_1,3
2435,575_6_1,5
2436,269_3_1,5
2437,98_3_1,4
2438,723_3_1,5
2439,437_2_1,4
2440,771_5_1,3
2441,494_8_1,8
2442,187_7_1,3
2443,707_7_1,2
2444,521_4_1,7
2445,310_9_1,2
2446,623_8_1,6
2447,575_4_1,5
2448,65_7_4,7
2449,339_5_1,6
2450,604_8_1,3
2451,426_2_1,4
2452,570_4_1,2
2453,812_11_2,4
2454,644_4_1,5
2455,414_1_1,5
2456,72_1_1,7
2457,46_1_1,2
2458,638_1_2,6
2459,617_4_1,5
2460,337_5_1,6
2461,95_8_1,6
2462,760_2_4,3
2463,784_1_1,6
2464,676_10_3,6
2465,542_5_1,3
2466,27_7_1,2
2467,487_7_1,2
2468,427_2_1,8
2469,527_4_1,5
2470,493_5_1,7
2471,313_5_1,4
2472,764_3_2,5
2473,281_6_1,8
2474,91_6_1,4
2475,390_3_1,3
2476,7_3_1,6
2477,652_7_1,1
2478,111_12_1,8
2479,729_4_2,6
2480,730_3_2,5
2481,65_6_1,6
2482,334_4_1,6
2483,18_4_1,8
2484,334_7_1,5
2485,611_3_1,1
2486,489_2_1,7
2487,694_3_4,5
2488,58_9_1,6
2489,528_6_1,4
2490,479_5_1,2
2491,75_3_1,3
2492,57_3_1,5
2493,420_4_1,6
2494,393_7_1,2
2495,40_1_1,2
2496,711_2_1,5
2497,490_8_2,7
2498,613_3_1,5
2499,57_5_1,5
2500,673_4_1,5
2501,112_3_1,8
2502,443_8_1,6
2503,189_3_1,2
2504,345_7_1,4
2505,780_6_1,3
2506,125_11_1,6
2507,49_6_1,3
2508,292_4_2,3
2509,185_5_1,4
2510,281_2_1,7
2511,780_12_1,3
2512,750_5_1,4
2513,695_6_1,4
2514,703_4_2,2
2515,241_4_1,4
2516,95_7_1,5
2517,756_8_1,5
2518,729_6_1,6
2519,162_6_1,3
2520,768_9_1,2
2521,697_6_1,5
2522,239_5_2,5
2523,573_1_2,6
2524,582_3_5,5
2525,47_1_1,5
2526,243_4_1,5
2527,144_12_1,2
2528,682_8_1,5
2529,471_3_2,7
2530,821_3_1,7
2531,24_8_1,3
2532,529_2_1,5
2533,803_8_1,6
2534,22_7_1,4
2535,489_6_2,4
2536,138_6_1,6
2537,551_7_2,3
2538,628_6_1,1
2539,287_7_1,3
2540,725_12_1,1
2541,812_1_2,3
2542,535_7_1,5
2543,397_8_1,5
2544,146_6_1,7
2545,420_2_1,6
2546,807_7_1,2
2547,480_5_1,4
2548,620_8_1,6
2549,589_4_1,3
2550,208_10_1,4
2551,64_5_1,5
2552,21_7_1,3
2553,361_7_1,6
2554,572_2_1,6
2555,595_3_2,6
2556,561_3_1,3
2557,13_9_1,3
2558,377_1_1,7
2559,494_3_1,3
2560,438_7_1,4
2561,423_3_1,5
2562,220_1_2,3
2563,744_7_2,5
2564,671_4_1,5
2565,208_7_1,4
2566,20_1_1,3
2567,403_7_3,8
2568,311_7_1,4
2569,198_9_3,5
2570,320_4_1,5
2571,338_6_2,4
2572,665_2_1,3
2573,612_2_1,1
2574,752_11_2,4
2575,277_3_1,1
2576,782_8_1,4
2577,487_5_1,3
2578,228_7_1,5
2579,653_4_1,2
2580,483_7_1,7
2581,39_6_1,3
2582,27_5_1,5
2583,542_6_2,7
2584,481_6_1,8
2585,401_1_1,3
2586,62_9_2,3
2587,26_6_1,6
2588,180_5_1,5
2589,142_12_1,6
2590,324_2_1,3
2591,109_6_1,8
2592,39_2_1,2
2593,232_2_1,4
2594,804_8_2,6
2595,249_9_1,2
2596,427_8_1,3
2597,192_8_1,1
2598,106_5_1,3
2599,249_8_1,5
2600,565_9_1,6
2601,559_1_1,4
2602,396_1_1,2
2603,586_12_1,6
2604,193_5_2,8
2605,27_4_1,6
2606,245_11_1,4
2607,644_9_2,6
2608,828_10_2,4
2609,645_10_2,7
2610,422_4_1,6
2611,169_9_2,7
2612,641_9_1,10
2613,637_9_2,6
2614,86_1_1,4
2615,23_6_1,2
2616,794_7_1,5
2617,346_6_1,3
2618,798_8_1,4
2619,35_7_1,5
2620,355_5_1,5
2621,311_4_1,5
2622,37_2_1,2
2623,516_7_1,5
2624,626_1_2,5
2625,125_2_1,5
2626,280_6_1,7
2627,429_6_1,5
2628,710_4_1,8
