psu_hh_idcode,subjectivePoverty_rating,hhid,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
193_5_2,8,19305,2,2,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
193_6_2,6,19306,2,2,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
193_8_1,3,19308,1,1,62,0,1,1,1,2.0,0.0,2.0,13.0,2.0
193_10_2,3,19310,2,2,50,0,0,1,1,6.0,0.0,2.0,13.0,2.0
194_1_2,1,19401,2,2,48,0,0,1,1,2.0,0.0,2.0,13.0,2.0
194_2_3,2,19402,1,4,27,0,2,1,1,3.0,3.0,2.0,13.0,2.0
194_3_2,1,19403,2,4,50,0,1,1,1,2.0,0.0,2.0,13.0,2.0
194_4_5,5,19404,1,4,21,0,2,1,1,3.0,3.0,2.0,13.0,2.0
194_5_1,1,19405,1,1,54,0,0,1,1,2.0,0.0,2.0,13.0,2.0
194_6_1,3,19406,1,1,50,6,0,1,1,2.0,0.0,2.0,13.0,2.0
194_7_2,4,19407,2,2,36,0,0,1,1,2.0,0.0,2.0,13.0,2.0
194_8_3,2,19408,1,4,33,0,2,1,1,2.0,3.0,2.0,13.0,2.0
195_1_2,3,19501,2,2,70,0,0,2,1,1.0,0.0,2.0,13.0,2.0
195_2_1,5,19502,1,1,65,3,0,1,1,9.0,0.0,2.0,13.0,2.0
195_3_2,4,19503,2,2,33,0,0,1,1,3.0,2.0,2.0,12.0,2.0
195_5_1,3,19505,1,1,53,0,0,1,1,3.0,0.0,2.0,13.0,2.0
195_6_2,2,19506,2,2,68,0,0,2,2,,,,,
195_8_2,4,19508,2,2,40,0,0,1,1,2.0,0.0,2.0,13.0,2.0
195_9_1,5,19509,1,1,62,0,0,1,1,3.0,0.0,2.0,4.0,2.0
195_11_2,1,19511,2,2,40,0,0,1,1,3.0,0.0,2.0,13.0,2.0
196_1_1,5,19601,1,1,66,0,0,1,1,9.0,0.0,2.0,2.0,2.0
196_2_1,5,19602,1,1,52,0,1,1,1,2.0,0.0,2.0,2.0,2.0
196_3_1,5,19603,1,1,38,0,0,1,1,2.0,0.0,2.0,2.0,2.0
196_4_1,5,19604,1,1,33,3,1,1,1,2.0,1.0,2.0,4.0,2.0
196_5_3,3,19605,2,4,17,0,2,1,1,2.0,1.0,1.0,,
196_6_1,4,19606,1,1,32,3,0,1,1,2.0,1.0,2.0,2.0,2.0
196_7_1,5,19607,1,1,78,0,0,2,2,,,,,
196_8_3,4,19608,1,4,32,0,2,1,1,2.0,1.0,2.0,10.0,2.0
197_2_1,3,19702,1,1,55,0,0,1,1,3.0,0.0,2.0,2.0,2.0
197_5_1,4,19705,1,1,47,2,1,1,1,2.0,0.0,2.0,4.0,2.0
197_8_3,7,19708,1,4,28,0,2,1,1,9.0,1.0,2.0,13.0,2.0
198_1_2,7,19801,2,2,45,0,0,1,1,3.0,0.0,2.0,2.0,2.0
198_2_3,5,19802,1,4,20,0,2,1,1,2.0,1.0,2.0,2.0,2.0
198_3_2,4,19803,2,2,47,0,0,1,1,2.0,0.0,2.0,2.0,2.0
198_4_3,5,19804,1,4,24,0,2,1,1,2.0,1.0,2.0,2.0,2.0
198_5_1,5,19805,1,1,69,0,0,1,1,1.0,0.0,2.0,2.0,2.0
198_8_2,7,19808,2,2,56,0,0,2,1,2.0,0.0,2.0,2.0,2.0
198_9_3,5,19809,1,4,25,0,2,1,1,3.0,1.0,2.0,2.0,2.0
199_3_1,3,19903,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
199_5_1,3,19905,1,1,61,0,0,1,1,2.0,1.0,2.0,13.0,2.0
199_6_1,6,19906,1,1,71,0,0,2,1,2.0,1.0,2.0,13.0,2.0
199_7_1,2,19907,1,1,40,0,0,1,1,2.0,0.0,2.0,13.0,2.0
199_8_1,5,19908,1,1,71,0,0,1,1,1.0,0.0,2.0,13.0,2.0
199_9_1,4,19909,1,1,46,0,0,1,1,3.0,0.0,2.0,13.0,2.0
199_12_1,8,19912,1,1,40,3,0,1,1,2.0,0.0,2.0,13.0,2.0
200_1_1,8,20001,1,1,69,0,0,2,1,1.0,0.0,2.0,13.0,2.0
200_2_1,6,20002,1,1,75,0,0,2,1,2.0,0.0,2.0,13.0,2.0
200_4_1,4,20004,1,1,37,0,0,1,1,2.0,0.0,2.0,13.0,2.0
200_5_1,5,20005,1,1,45,4,2,1,1,2.0,0.0,2.0,13.0,2.0
200_6_1,3,20006,1,1,43,0,0,1,1,2.0,0.0,2.0,13.0,2.0
200_8_2,6,20008,2,1,32,0,0,1,1,2.0,0.0,2.0,13.0,2.0
200_9_1,2,20009,1,1,51,0,0,1,1,2.0,0.0,2.0,13.0,2.0
201_1_1,7,20101,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
201_2_1,6,20102,1,1,60,0,0,1,1,2.0,1.0,2.0,13.0,2.0
201_3_1,6,20103,1,1,35,0,0,1,1,2.0,1.0,2.0,13.0,2.0
201_7_1,7,20107,1,1,64,0,0,1,1,2.0,1.0,2.0,13.0,2.0
201_8_1,3,20108,1,1,42,0,0,1,2,,,,,
202_1_1,5,20201,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
202_2_1,4,20202,1,1,69,0,0,1,1,2.0,1.0,2.0,13.0,2.0
202_4_1,4,20204,2,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
202_5_1,4,20205,1,1,63,0,0,1,1,3.0,1.0,2.0,13.0,2.0
202_6_1,3,20206,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
202_7_1,7,20207,1,1,55,0,0,1,1,2.0,1.0,2.0,13.0,2.0
202_8_1,1,20208,2,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
202_10_1,7,20210,2,1,59,0,0,1,1,9.0,1.0,2.0,13.0,2.0
203_1_1,6,20301,1,1,72,0,0,1,1,4.0,0.0,2.0,13.0,2.0
203_2_1,6,20302,1,1,65,0,0,1,1,9.0,0.0,2.0,13.0,2.0
203_3_1,5,20303,1,1,61,0,0,1,1,4.0,0.0,2.0,13.0,2.0
203_5_1,6,20305,1,1,40,0,0,1,1,3.0,0.0,2.0,2.0,2.0
203_7_1,8,20307,1,1,61,0,0,1,1,6.0,0.0,2.0,13.0,2.0
203_8_2,3,20308,2,2,40,0,0,1,1,3.0,0.0,2.0,13.0,2.0
203_10_1,3,20310,1,1,50,0,0,1,1,3.0,0.0,2.0,13.0,2.0
204_1_1,4,20401,1,1,57,0,0,1,1,4.0,0.0,2.0,13.0,2.0
204_4_1,4,20404,1,1,38,0,0,1,1,9.0,0.0,2.0,13.0,2.0
204_6_1,9,20406,1,1,64,0,0,1,1,9.0,0.0,2.0,13.0,2.0
204_7_1,6,20407,1,1,67,0,0,1,1,6.0,0.0,2.0,13.0,2.0
204_9_1,7,20409,2,1,56,0,0,1,1,3.0,0.0,2.0,13.0,2.0
204_10_1,5,20410,2,1,45,0,0,1,1,3.0,0.0,2.0,13.0,2.0
205_1_1,6,20501,1,1,74,0,0,1,1,3.0,0.0,2.0,13.0,2.0
205_3_1,4,20503,1,1,55,0,0,1,1,3.0,0.0,2.0,13.0,2.0
205_6_1,5,20506,1,1,77,0,0,1,1,3.0,0.0,2.0,13.0,2.0
205_7_1,4,20507,1,1,73,0,0,1,1,3.0,0.0,2.0,2.0,2.0
206_1_1,3,20601,1,1,78,0,0,1,1,1.0,0.0,2.0,13.0,2.0
206_2_1,5,20602,1,1,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
206_3_1,7,20603,1,1,63,0,0,1,1,6.0,0.0,2.0,13.0,2.0
206_4_1,8,20604,1,1,41,0,1,1,1,3.0,0.0,2.0,13.0,2.0
206_5_1,3,20605,1,1,36,0,0,1,1,3.0,0.0,2.0,13.0,2.0
206_9_1,6,20609,1,1,55,0,0,1,1,2.0,0.0,2.0,13.0,2.0
207_2_1,5,20702,1,1,49,0,0,2,1,1.0,0.0,2.0,13.0,2.0
207_3_1,7,20703,1,1,65,0,0,1,1,6.0,0.0,2.0,13.0,2.0
207_4_1,2,20704,1,1,51,0,0,1,1,1.0,0.0,2.0,13.0,2.0
207_5_1,5,20705,1,1,54,0,0,1,1,1.0,0.0,2.0,13.0,2.0
207_6_1,5,20706,1,1,65,0,0,2,1,0.0,0.0,2.0,13.0,2.0
207_7_1,3,20707,1,1,72,0,0,2,1,1.0,0.0,2.0,13.0,2.0
207_8_1,4,20708,1,1,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
208_1_1,5,20801,1,1,48,0,0,1,1,3.0,0.0,2.0,13.0,2.0
208_4_1,2,20804,1,1,29,0,0,1,1,3.0,0.0,2.0,2.0,2.0
208_7_1,4,20807,1,1,49,0,0,1,1,3.0,0.0,2.0,13.0,2.0
208_8_1,6,20808,1,1,53,0,0,1,1,6.0,0.0,2.0,13.0,2.0
208_9_1,3,20809,1,1,60,0,0,1,1,6.0,0.0,2.0,13.0,2.0
208_10_1,4,20810,1,1,30,0,0,1,1,9.0,0.0,2.0,13.0,2.0
208_11_1,2,20811,1,1,58,0,0,1,1,4.0,0.0,2.0,13.0,2.0
209_2_2,8,20902,2,1,46,0,0,1,1,9.0,0.0,2.0,13.0,2.0
209_3_2,3,20903,2,2,73,0,0,1,1,1.0,0.0,2.0,13.0,2.0
209_4_3,4,20904,2,4,40,0,2,1,1,6.0,0.0,2.0,4.0,2.0
209_6_1,3,20906,1,1,51,0,0,1,1,6.0,0.0,2.0,13.0,2.0
209_7_1,8,20907,1,1,34,0,0,1,1,6.0,0.0,2.0,4.0,2.0
209_8_1,2,20908,1,1,41,0,0,1,1,2.0,0.0,2.0,13.0,2.0
210_1_1,8,21001,1,1,59,0,0,1,1,9.0,0.0,2.0,13.0,2.0
210_3_1,8,21003,1,1,40,1,0,1,1,9.0,0.0,2.0,4.0,2.0
210_4_1,6,21004,1,1,40,0,0,1,1,9.0,0.0,2.0,4.0,2.0
210_5_3,8,21005,1,4,38,3,2,1,1,6.0,0.0,2.0,4.0,2.0
210_6_1,7,21006,1,1,62,0,0,1,1,9.0,0.0,2.0,13.0,2.0
211_2_1,7,21102,1,1,63,0,0,1,1,9.0,1.0,2.0,13.0,2.0
211_4_1,4,21104,1,1,75,1,0,1,1,3.0,0.0,2.0,13.0,2.0
211_5_1,4,21105,1,1,68,0,0,1,1,2.0,1.0,2.0,13.0,2.0
212_1_1,4,21201,1,1,68,0,0,1,1,2.0,0.0,2.0,13.0,2.0
212_2_1,4,21202,1,1,53,0,0,1,1,6.0,0.0,2.0,13.0,2.0
212_3_1,5,21203,1,1,50,0,0,1,1,6.0,0.0,2.0,13.0,2.0
212_4_1,5,21204,1,1,64,0,0,1,1,6.0,0.0,2.0,13.0,2.0
212_5_2,3,21205,2,2,20,0,0,1,1,2.0,0.0,2.0,11.0,2.0
212_8_3,7,21208,2,4,34,0,2,1,1,9.0,0.0,2.0,13.0,2.0
212_9_1,3,21209,2,1,48,0,0,1,1,6.0,0.0,2.0,13.0,2.0
213_2_1,2,21302,1,1,33,0,0,1,1,2.0,0.0,2.0,4.0,2.0
213_3_1,4,21303,1,1,69,0,0,1,1,1.0,0.0,2.0,13.0,2.0
213_4_1,8,21304,1,1,64,0,0,1,1,6.0,0.0,2.0,13.0,2.0
213_5_1,5,21305,1,1,74,0,0,1,1,6.0,0.0,2.0,13.0,2.0
213_6_1,5,21306,1,1,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
213_7_1,5,21307,1,1,65,0,0,1,1,6.0,0.0,2.0,13.0,2.0
213_8_1,4,21308,1,1,71,0,0,1,1,2.0,0.0,2.0,13.0,2.0
214_2_1,6,21402,2,1,64,0,0,1,1,6.0,0.0,2.0,13.0,2.0
214_3_1,5,21403,1,1,58,0,0,1,1,6.0,0.0,2.0,13.0,2.0
214_5_2,8,21405,2,2,61,0,0,1,1,9.0,0.0,2.0,13.0,2.0
214_7_1,3,21407,1,1,64,2,0,1,1,9.0,0.0,2.0,13.0,2.0
214_8_2,5,21408,2,2,35,0,0,1,1,6.0,0.0,2.0,13.0,2.0
214_10_1,6,21410,1,1,63,0,0,1,1,6.0,0.0,2.0,13.0,2.0
214_11_1,6,21411,2,1,46,0,0,1,1,2.0,0.0,2.0,13.0,2.0
215_1_1,3,21501,1,1,59,0,0,1,1,3.0,0.0,2.0,13.0,2.0
215_2_1,3,21502,2,1,76,0,0,3,2,,,,,
215_4_1,4,21504,2,1,23,0,0,1,1,2.0,0.0,2.0,12.0,2.0
215_6_1,5,21506,2,1,73,0,0,2,1,1.0,0.0,2.0,13.0,2.0
215_7_1,3,21507,1,1,58,0,0,1,1,2.0,0.0,2.0,13.0,2.0
215_9_1,3,21509,1,1,47,0,0,1,1,3.0,0.0,2.0,13.0,2.0
216_1_1,3,21601,1,1,69,0,0,2,1,2.0,0.0,2.0,13.0,2.0
216_2_1,4,21602,1,1,42,0,0,1,1,2.0,0.0,2.0,13.0,2.0
216_4_1,4,21604,1,1,37,0,0,1,1,2.0,0.0,2.0,13.0,2.0
216_6_1,4,21606,1,1,74,0,0,2,1,1.0,0.0,2.0,13.0,2.0
216_7_1,5,21607,1,1,65,0,0,2,1,1.0,0.0,2.0,13.0,2.0
216_8_1,4,21608,1,1,38,0,0,1,1,2.0,0.0,2.0,13.0,2.0
217_1_2,3,21701,2,2,44,0,0,1,1,2.0,0.0,2.0,13.0,2.0
217_3_5,4,21703,2,4,33,12,2,1,1,2.0,1.0,2.0,13.0,2.0
217_4_5,4,21704,2,4,30,0,2,1,1,2.0,1.0,2.0,13.0,2.0
217_5_2,4,21705,2,2,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
217_6_2,3,21706,2,2,58,0,0,1,1,2.0,0.0,2.0,13.0,2.0
217_9_3,3,21709,1,4,31,0,2,1,1,2.0,0.0,2.0,13.0,2.0
218_1_1,3,21801,1,1,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
218_2_1,3,21802,2,1,64,0,0,1,1,1.0,0.0,2.0,13.0,2.0
218_3_1,4,21803,1,1,46,0,0,1,1,3.0,0.0,2.0,13.0,2.0
218_4_1,3,21804,1,1,60,0,0,1,1,3.0,0.0,2.0,13.0,2.0
218_5_1,1,21805,1,1,47,0,0,1,1,2.0,0.0,2.0,13.0,2.0
218_6_1,4,21806,1,1,64,0,0,1,1,3.0,0.0,2.0,13.0,2.0
218_7_1,4,21807,1,1,50,0,0,1,1,3.0,0.0,2.0,13.0,2.0
218_8_1,4,21808,1,1,76,0,0,1,1,1.0,0.0,2.0,13.0,2.0
219_1_1,4,21901,1,1,41,0,0,1,1,3.0,0.0,2.0,13.0,2.0
219_2_1,6,21902,1,1,62,0,0,1,1,3.0,0.0,2.0,13.0,2.0
219_3_1,3,21903,1,1,35,0,0,1,1,2.0,1.0,2.0,13.0,2.0
219_4_1,5,21904,2,1,72,0,0,1,1,2.0,0.0,2.0,13.0,2.0
219_5_2,8,21905,2,2,53,0,0,1,1,3.0,0.0,2.0,13.0,2.0
219_6_1,4,21906,1,1,51,0,0,1,1,2.0,0.0,2.0,13.0,2.0
219_7_1,5,21907,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
219_8_1,5,21908,1,1,89,0,0,2,1,1.0,0.0,2.0,13.0,2.0
220_1_2,3,22001,2,2,41,0,0,1,1,2.0,0.0,2.0,13.0,2.0
220_3_1,3,22003,1,1,50,0,1,1,1,2.0,0.0,2.0,13.0,2.0
220_4_1,5,22004,1,1,56,0,0,1,1,2.0,0.0,2.0,13.0,2.0
220_5_1,4,22005,2,1,57,0,0,1,1,2.0,0.0,2.0,13.0,2.0
220_7_1,5,22007,1,1,52,0,0,1,1,3.0,0.0,2.0,13.0,2.0
221_1_3,2,22101,1,4,27,0,2,1,1,2.0,1.0,2.0,13.0,2.0
221_3_2,2,22103,2,2,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
221_4_1,3,22104,1,1,70,0,0,1,1,2.0,1.0,2.0,13.0,2.0
221_5_2,3,22105,2,2,43,0,0,1,1,3.0,1.0,2.0,13.0,2.0
221_6_1,2,22106,1,1,54,0,0,2,1,1.0,0.0,2.0,13.0,2.0
221_7_1,6,22107,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
221_8_2,1,22108,2,2,56,0,0,3,2,,,,,
222_1_1,3,22201,1,1,66,0,0,1,1,2.0,1.0,2.0,13.0,2.0
222_2_1,3,22202,1,1,50,0,0,1,1,3.0,0.0,2.0,13.0,2.0
222_3_1,1,22203,1,1,37,0,0,1,1,2.0,0.0,2.0,13.0,2.0
222_4_1,5,22204,1,1,44,0,0,1,1,3.0,0.0,2.0,13.0,2.0
222_5_1,7,22205,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
222_6_1,2,22206,1,1,40,0,0,1,1,2.0,0.0,2.0,13.0,2.0
222_7_1,4,22207,1,1,78,0,0,1,1,2.0,0.0,2.0,13.0,2.0
222_8_1,2,22208,1,1,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
223_1_1,5,22301,1,1,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
223_2_1,7,22302,1,1,51,0,0,1,1,2.0,0.0,2.0,13.0,2.0
223_3_1,4,22303,1,1,62,0,0,1,1,2.0,1.0,2.0,13.0,2.0
223_4_1,3,22304,1,1,67,0,0,1,1,2.0,0.0,2.0,13.0,2.0
223_5_1,3,22305,1,1,51,0,0,1,1,3.0,0.0,2.0,13.0,2.0
223_6_1,3,22306,1,1,73,0,0,1,1,2.0,0.0,2.0,13.0,2.0
223_7_1,7,22307,1,1,45,0,0,1,1,3.0,0.0,2.0,13.0,2.0
223_8_1,4,22308,1,1,59,0,0,1,1,3.0,0.0,2.0,13.0,2.0
224_1_1,5,22401,1,1,70,0,0,1,1,2.0,0.0,2.0,13.0,2.0
224_2_1,3,22402,1,1,68,0,0,1,1,2.0,0.0,2.0,13.0,2.0
224_3_1,4,22403,1,1,43,0,1,1,1,3.0,0.0,2.0,13.0,2.0
224_4_1,3,22404,1,1,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
224_5_1,3,22405,1,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
224_6_1,3,22406,1,1,61,0,0,1,1,2.0,0.0,2.0,13.0,2.0
224_7_1,6,22407,1,1,57,0,0,1,1,2.0,0.0,2.0,13.0,2.0
224_8_1,5,22408,1,1,47,0,0,1,1,2.0,2.0,2.0,13.0,2.0
225_2_1,7,22502,1,1,60,0,0,1,1,6.0,0.0,2.0,13.0,2.0
225_5_1,5,22505,1,1,51,0,0,1,1,2.0,0.0,2.0,13.0,2.0
225_7_1,5,22507,1,1,60,0,0,1,1,9.0,0.0,2.0,13.0,2.0
225_10_1,4,22510,1,1,49,0,0,1,1,6.0,0.0,2.0,13.0,2.0
225_11_1,3,22511,1,1,44,0,0,1,1,2.0,0.0,2.0,13.0,2.0
225_12_1,1,22512,1,1,50,0,0,1,1,2.0,0.0,2.0,13.0,2.0
226_1_1,2,22601,1,1,57,0,0,1,1,2.0,0.0,2.0,13.0,2.0
226_2_1,1,22602,1,1,44,0,0,1,1,2.0,0.0,2.0,13.0,2.0
226_5_1,2,22605,1,1,63,0,0,1,1,1.0,0.0,2.0,13.0,2.0
226_6_1,1,22606,1,1,41,0,0,1,1,2.0,0.0,2.0,13.0,2.0
226_8_2,3,22608,2,1,36,0,0,1,1,2.0,0.0,2.0,13.0,2.0
226_10_1,2,22610,2,1,73,0,0,1,1,1.0,0.0,2.0,13.0,2.0
227_1_1,3,22701,1,1,37,0,2,1,1,2.0,0.0,2.0,13.0,2.0
227_2_1,3,22702,1,1,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
227_4_1,4,22704,1,1,59,0,0,1,1,3.0,0.0,2.0,13.0,2.0
227_6_2,3,22706,2,2,33,0,0,1,1,2.0,0.0,2.0,13.0,2.0
227_7_1,2,22707,1,1,43,0,0,1,1,2.0,0.0,2.0,13.0,2.0
227_8_2,5,22708,2,2,44,0,0,1,1,3.0,0.0,2.0,13.0,2.0
227_9_1,2,22709,1,1,40,0,0,1,1,2.0,0.0,2.0,13.0,2.0
228_2_1,3,22802,1,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
228_3_1,5,22803,1,1,73,0,0,1,1,2.0,0.0,2.0,13.0,2.0
228_5_1,1,22805,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
228_6_1,3,22806,1,1,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
228_7_1,5,22807,1,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
229_2_1,3,22902,2,1,38,0,0,1,1,2.0,1.0,2.0,2.0,2.0
229_3_1,3,22903,1,1,63,0,0,1,1,2.0,1.0,2.0,13.0,2.0
229_6_1,3,22906,1,1,36,0,2,1,1,2.0,0.0,2.0,2.0,2.0
229_7_1,4,22907,1,1,45,0,0,1,1,6.0,0.0,2.0,13.0,2.0
229_8_1,4,22908,1,1,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
230_1_4,4,23001,2,9,29,0,0,1,1,2.0,0.0,2.0,13.0,2.0
230_3_1,5,23003,1,1,35,0,0,1,1,2.0,0.0,2.0,13.0,2.0
230_5_2,3,23005,2,2,38,0,0,1,1,3.0,0.0,2.0,13.0,2.0
230_6_1,4,23006,1,1,71,0,0,2,1,1.0,0.0,2.0,13.0,2.0
230_7_1,4,23007,1,1,36,0,0,1,1,2.0,0.0,2.0,13.0,2.0
230_9_1,3,23009,1,1,77,0,0,2,1,1.0,0.0,2.0,13.0,2.0
231_1_1,6,23101,1,1,77,0,0,1,1,2.0,1.0,2.0,13.0,2.0
231_3_1,5,23103,1,1,60,0,0,1,1,2.0,0.0,2.0,13.0,2.0
231_5_1,6,23105,1,1,42,0,0,1,1,2.0,0.0,2.0,13.0,2.0
231_6_1,6,23106,1,1,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
231_7_1,6,23107,1,1,78,0,0,2,1,2.0,0.0,2.0,13.0,2.0
231_8_1,8,23108,1,1,56,0,0,1,1,2.0,0.0,2.0,13.0,2.0
232_2_1,4,23202,2,1,67,0,0,1,1,6.0,0.0,2.0,13.0,2.0
232_3_1,4,23203,2,1,69,0,0,2,1,1.0,0.0,2.0,13.0,2.0
232_4_1,4,23204,2,1,61,0,0,1,1,2.0,0.0,2.0,13.0,2.0
232_8_1,4,23208,2,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
233_4_1,5,23304,1,1,76,0,0,2,2,,,,,
233_5_1,2,23305,1,1,47,0,0,1,1,9.0,1.0,2.0,13.0,2.0
233_6_1,4,23306,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
233_10_5,4,23310,2,4,18,0,2,1,1,3.0,1.0,1.0,,
233_11_1,6,23311,1,1,55,0,0,1,1,9.0,1.0,2.0,13.0,2.0
234_1_2,5,23401,2,2,53,0,0,1,1,3.0,0.0,2.0,13.0,2.0
234_3_1,6,23403,1,1,61,0,0,1,1,3.0,0.0,2.0,13.0,2.0
234_4_1,1,23404,1,1,66,0,0,1,1,2.0,1.0,2.0,13.0,2.0
234_8_2,3,23408,2,2,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
234_9_2,4,23409,2,1,44,0,0,1,1,2.0,0.0,2.0,13.0,2.0
234_10_2,5,23410,2,2,41,0,0,1,1,3.0,0.0,2.0,13.0,2.0
234_12_2,2,23412,2,2,38,0,0,1,1,2.0,1.0,2.0,13.0,2.0
235_1_2,5,23501,2,2,41,0,0,1,1,9.0,1.0,2.0,13.0,2.0
235_2_2,4,23502,2,2,46,0,0,1,1,2.0,1.0,2.0,13.0,2.0
235_3_2,4,23503,2,7,75,0,0,1,1,2.0,1.0,2.0,13.0,2.0
235_4_1,4,23504,1,1,62,0,0,1,1,9.0,1.0,2.0,13.0,2.0
235_5_1,5,23505,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
235_6_1,4,23506,2,1,54,0,0,1,1,9.0,1.0,2.0,13.0,2.0
235_7_1,3,23507,1,1,38,0,0,1,1,2.0,0.0,2.0,2.0,2.0
235_8_1,3,23508,1,1,40,0,0,1,2,,,,,
236_1_3,2,23601,2,4,16,0,1,1,1,2.0,0.0,1.0,,
236_2_2,8,23602,2,2,39,0,0,1,1,9.0,1.0,2.0,13.0,2.0
236_3_1,5,23603,1,1,48,0,0,1,1,4.0,0.0,2.0,13.0,2.0
236_4_1,6,23604,1,1,61,0,0,1,1,9.0,0.0,2.0,13.0,2.0
236_5_2,4,23605,2,2,62,0,0,1,1,3.0,0.0,2.0,13.0,2.0
236_7_1,4,23607,1,1,33,0,0,1,1,2.0,1.0,2.0,13.0,2.0
236_8_2,5,23608,2,2,58,0,0,1,1,2.0,0.0,2.0,13.0,2.0
237_1_2,5,23701,2,2,38,0,0,1,1,3.0,0.0,2.0,13.0,2.0
237_2_1,5,23702,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
237_3_2,4,23703,2,2,21,0,0,1,1,3.0,0.0,2.0,13.0,2.0
237_4_1,4,23704,1,1,46,0,0,1,1,2.0,0.0,2.0,13.0,2.0
237_5_2,3,23705,2,2,46,0,0,1,1,2.0,0.0,2.0,13.0,2.0
237_6_3,4,23706,2,9,29,0,0,1,1,3.0,3.0,2.0,13.0,2.0
237_7_1,5,23707,1,1,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
238_1_2,4,23801,2,2,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
238_2_2,4,23802,2,2,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
238_3_1,4,23803,1,1,46,0,0,1,1,6.0,0.0,2.0,13.0,2.0
238_5_1,5,23805,1,1,59,0,0,1,1,6.0,0.0,2.0,13.0,2.0
238_7_2,5,23807,2,2,60,0,0,1,1,2.0,0.0,2.0,13.0,2.0
238_8_2,4,23808,2,2,30,0,0,1,1,2.0,3.0,2.0,13.0,2.0
239_1_2,4,23901,2,2,43,0,0,1,1,2.0,0.0,2.0,13.0,2.0
239_2_2,4,23902,2,2,39,0,0,1,1,2.0,0.0,2.0,13.0,2.0
239_5_2,5,23905,2,2,72,0,0,3,1,1.0,1.0,2.0,13.0,2.0
239_7_1,4,23907,1,1,55,0,0,1,1,2.0,0.0,2.0,13.0,2.0
239_8_1,5,23908,1,1,63,0,0,1,1,2.0,0.0,2.0,13.0,2.0
239_9_2,5,23909,2,2,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
240_1_1,3,24001,1,1,49,0,0,1,1,2.0,0.0,2.0,2.0,2.0
240_3_1,5,24003,1,1,30,1,2,1,1,3.0,2.0,2.0,2.0,2.0
240_4_2,5,24004,2,2,59,0,0,1,1,6.0,0.0,2.0,2.0,2.0
240_5_1,4,24005,1,1,39,1,0,1,1,3.0,1.0,2.0,2.0,2.0
240_6_1,5,24006,1,1,52,0,0,1,1,3.0,2.0,2.0,2.0,2.0
240_10_1,3,24010,1,1,55,0,0,1,1,2.0,1.0,2.0,2.0,2.0
240_12_1,3,24012,1,1,54,0,2,1,1,2.0,0.0,2.0,2.0,2.0
241_2_1,3,24102,1,1,60,0,1,1,1,3.0,0.0,2.0,2.0,2.0
241_3_1,4,24103,1,1,47,0,0,1,1,3.0,2.0,2.0,2.0,2.0
241_4_1,4,24104,1,1,48,0,0,1,1,3.0,0.0,2.0,2.0,2.0
241_5_1,3,24105,2,1,77,0,0,3,1,1.0,1.0,2.0,13.0,2.0
241_6_1,6,24106,1,1,58,0,0,1,1,9.0,0.0,2.0,13.0,2.0
241_7_1,5,24107,1,1,64,1,0,1,1,2.0,0.0,2.0,2.0,2.0
241_8_1,3,24108,1,1,45,0,0,1,1,2.0,0.0,2.0,2.0,2.0
